WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.718463155000052 52.393853703000048)",Unfall 150 (2024) Kat:3, Licht: 0,150,3,1,0,03,17,3,,0,1,0,0,0
"POINT (9.728874614000063 52.372982253000032)",Unfall 151 (2024) Kat:3, Licht: 0,151,3,2,0,03,08,2,,0,1,1,0,0
"POINT (9.473722977000023 52.360248415000058)",Unfall 152 (2024) Kat:3, Licht: 0,152,3,7,0,03,15,2,,0,1,0,0,0
"POINT (9.742814225000075 52.368388556000070)",Unfall 153 (2024) Kat:3, Licht: 2,153,3,3,5,03,05,2,,2,1,1,0,0
"POINT (9.733945342000027 52.369100668000044)",Unfall 154 (2024) Kat:3, Licht: 0,154,3,3,5,04,08,5,,0,1,1,0,0
"POINT (9.618274119000034 52.405826444000070)",Unfall 155 (2024) Kat:3, Licht: 0,155,3,3,5,05,08,4,,0,1,1,0,0
"POINT (9.763453439000045 52.343828698000038)",Unfall 156 (2024) Kat:3, Licht: 0,156,3,3,5,03,11,6,,0,1,1,0,0
"POINT (9.450180439000064 52.504801199000042)",Unfall 157 (2024) Kat:3, Licht: 0,157,3,3,5,04,19,3,,0,1,0,0,0
"POINT (9.708225427000059 52.420852682000032)",Unfall 158 (2024) Kat:3, Licht: 2,158,3,3,5,03,06,5,,2,1,1,0,0
"POINT (9.580689307000057 52.440307278000034)",Unfall 159 (2024) Kat:3, Licht: 0,159,3,7,0,03,11,3,,0,1,0,0,0
"POINT (9.421895093000046 52.331440354000051)",Unfall 160 (2024) Kat:3, Licht: 0,160,3,2,4,03,17,4,,0,1,1,0,0
"POINT (9.574063522000074 52.421662939000043)",Unfall 161 (2024) Kat:2, Licht: 0,161,2,3,5,03,12,3,,0,1,1,0,0
"POINT (9.504412761000026 52.289467860000059)",Unfall 162 (2024) Kat:3, Licht: 0,162,3,3,5,03,10,2,,0,1,1,0,0
"POINT (9.749167031000070 52.531132681000031)",Unfall 163 (2024) Kat:3, Licht: 0,163,3,3,5,03,16,2,,0,1,1,0,0
"POINT (9.965941041000065 52.315604318000055)",Unfall 164 (2024) Kat:3, Licht: 0,164,3,3,5,03,14,2,,0,1,1,0,0
"POINT (9.949236123000048 52.371971530000053)",Unfall 165 (2024) Kat:3, Licht: 0,165,3,2,5,03,10,2,,0,1,1,0,0
"POINT (9.652108710000050 52.415933104000032)",Unfall 166 (2024) Kat:3, Licht: 0,166,3,7,0,03,11,5,,0,1,0,0,0
"POINT (9.735765013000048 52.400066878000075)",Unfall 167 (2024) Kat:3, Licht: 2,167,3,4,6,03,18,5,,2,1,0,1,0
"POINT (9.675891031000049 52.353726488000063)",Unfall 168 (2024) Kat:3, Licht: 0,168,3,3,5,03,09,5,,0,1,1,0,0
"POINT (9.786848525000039 52.335272281000073)",Unfall 169 (2024) Kat:3, Licht: 0,169,3,2,4,03,12,5,,0,1,0,0,0
"POINT (9.726728413000046 52.375767289000066)",Unfall 170 (2024) Kat:3, Licht: 2,170,3,3,5,03,21,5,,2,1,1,0,0
"POINT (9.791084309000041 52.420537672000080)",Unfall 171 (2024) Kat:3, Licht: 0,171,3,7,0,08,07,4,,0,1,0,0,0
"POINT (9.809644172000048 52.368916232000061)",Unfall 172 (2024) Kat:3, Licht: 0,172,3,7,0,08,08,3,,0,1,0,0,0
"POINT (9.731584039000040 52.369406474000073)",Unfall 173 (2024) Kat:3, Licht: 0,173,3,2,4,08,12,2,,0,1,1,0,0
