WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (7.124301786000046 50.713339927000050)",Unfall 106510 (2019) Kat:2, Licht: 0,106510,2,1,8,05,14,7,1,0,0,1,0,0
"POINT (7.123933749000059 50.713681874000031)",Unfall 106513 (2019) Kat:3, Licht: 0,106513,3,6,2,05,12,7,1,0,0,1,0,0
"POINT (7.142751464000071 50.744890329000043)",Unfall 106595 (2019) Kat:3, Licht: 2,106595,3,1,8,05,04,7,1,2,0,1,0,0
"POINT (7.169915950000075 50.676477309000063)",Unfall 106671 (2019) Kat:2, Licht: 0,106671,2,3,5,05,08,6,0,0,1,1,0,0
"POINT (7.108002277000026 50.730739145000030)",Unfall 106673 (2019) Kat:3, Licht: 0,106673,3,5,3,05,16,6,0,0,1,1,0,0
"POINT (7.100870859000054 50.738609101000065)",Unfall 106675 (2019) Kat:3, Licht: 0,106675,3,6,2,05,19,6,1,0,0,1,0,0
"POINT (7.181730028000061 50.668282226000031)",Unfall 106937 (2019) Kat:3, Licht: 0,106937,3,4,6,04,18,2,0,0,0,1,1,0
"POINT (7.079860774000053 50.749043844000028)",Unfall 106940 (2019) Kat:3, Licht: 0,106940,3,2,5,04,15,2,0,0,1,1,0,0
"POINT (7.112210438000034 50.762291258000062)",Unfall 107078 (2019) Kat:3, Licht: 0,107078,3,6,2,05,16,4,1,0,0,1,0,0
"POINT (7.046065585000065 50.715449829000079)",Unfall 107123 (2019) Kat:3, Licht: 0,107123,3,7,0,05,14,3,0,0,1,0,0,0
"POINT (7.111057799000037 50.738348440000038)",Unfall 107124 (2019) Kat:3, Licht: 0,107124,3,6,4,05,18,3,0,0,1,0,0,0
"POINT (7.092151042000069 50.717907807000074)",Unfall 107129 (2019) Kat:3, Licht: 0,107129,3,6,2,05,17,3,0,0,1,1,0,0
"POINT (7.127508199000033 50.710627221000038)",Unfall 107296 (2019) Kat:1, Licht: 2,107296,1,3,5,05,00,1,1,2,1,0,0,0
"POINT (7.144810422000035 50.739621114000045)",Unfall 107331 (2019) Kat:3, Licht: 0,107331,3,1,8,05,08,7,1,0,0,1,0,0
"POINT (7.122338436000064 50.743603588000042)",Unfall 107384 (2019) Kat:3, Licht: 0,107384,3,6,2,05,16,6,0,0,0,1,0,0
"POINT (7.122832935000076 50.743829774000062)",Unfall 107492 (2019) Kat:3, Licht: 0,107492,3,3,5,05,17,5,1,0,0,1,0,0
